grid_id,latitude,longitude,total_detections,active_days,avg_frp,max_frp,median_frp,frp_std,avg_brightness,max_brightness,avg_confidence,satellite_count,active_months,active_years,years_with_activity,avg_yearly_detections,max_yearly_detections,yearly_detection_std,recurrence_ratio,persistent_months,avg_monthly_detections,max_monthly_detections,satellite_types,snpp_detections,noaa20_detections,noaa21_detections,multi_satellite_activity,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,detections_90d,active_days_90d,avg_frp_90d,max_frp_90d,seasonal_peak,seasonal_mean,seasonal_std,seasonality_strength,detections_per_active_day,recent_activity_ratio,frp_intensity_ratio,persistence_ratio
24.10_82.60,24.137549619883043,82.62482960038986,3078,844,1.69,14.55,1.23,1.3981904289765663,310.08024691358025,367.0,58.9083820662768,3,62,7,7,439.7142857142857,941,358.5878387442024,1.0,62,49.64516129032258,288,3,1147,1212,719,1,0,0,0.0,0.0,3,3,3.97,7.05,633,256.5,203.19426441439995,2.467836257309941,3.646919431279621,0.0,8.622097724384892,1.0
24.75_74.60,24.764448467709588,74.6077085720016,2494,1492,1.94,22.09,1.69,1.4845470466123414,309.1394665062174,367.0,59.65102286401925,3,80,7,7,356.1428571428572,473,77.46919510667573,1.0,80,31.1625,69,3,1036,1055,402,1,2,2,0.73,0.52,15,13,2.18,5.6,346,207.75,103.78397581690363,1.6654632972322505,1.6720321931589537,0.133,11.379163067869523,1.0
27.65_76.10,27.66804826143791,76.13056762962962,2295,1427,1.47,6.38,1.37,0.6258215605144422,305.7867189542484,347.69,59.908496732026144,3,79,7,7,327.85714285714283,614,138.90695755484265,1.0,79,29.050632911392405,97,3,895,982,418,1,1,1,0.69,1.92,15,15,1.85,2.84,297,191.25,83.02806206885171,1.5529411764705885,1.608269096005606,0.067,4.347249066989694,1.0
29.45_76.85,29.46368484821024,76.87038499773448,2207,726,4.1,71.26,1.99,6.3692175795827,317.7576619845945,367.0,59.56502038966924,3,80,7,7,315.2857142857143,576,151.75057856640316,1.0,80,27.5875,205,3,995,928,284,1,21,7,12.91,52.02,39,15,10.23,52.02,366,183.91666666666663,108.30131228394346,1.9900317172632531,3.039944903581268,0.538,17.36781995074708,1.0
29.90_74.90,29.910738410815934,74.94517556451613,2108,583,7.58,160.19,3.595,10.249527519564475,321.71707305502844,367.0,60.74003795066414,3,70,7,7,301.1428571428572,959,319.4450545197763,1.0,70,30.114285714285717,238,3,965,947,196,1,0,0,0.0,0.0,9,1,12.75,35.31,350,175.66666666666666,93.03892961681376,1.9924098671726755,3.615780445969125,0.0,21.138682640428232,1.0
24.10_82.70,24.13753216380182,82.7196961627907,1978,782,1.64,21.27,1.09,1.6185338743327278,311.2099191102123,367.0,58.58948432760364,3,73,7,7,282.57142857142856,399,97.16284808309732,1.0,73,27.095890410958905,108,3,827,881,270,1,2,2,1.1,2.06,30,19,2.47,6.53,290,164.83333333333334,102.42232829482708,1.7593528816986854,2.5294117647058822,0.067,12.995993587268442,1.0
31.25_76.90,31.257288598273234,76.92664213814119,1969,1060,0.95,33.76,0.75,1.508445155264127,301.5100406297613,367.0,59.86287455561199,3,78,7,7,281.2857142857143,381,77.24142732522552,1.0,78,25.243589743589745,65,3,733,972,264,1,5,4,0.91,1.43,15,14,0.98,1.43,271,164.08333333333334,72.90524152915374,1.6515997968511935,1.8575471698113208,0.333,35.6299861711137,1.0
24.15_80.65,24.168310350052245,80.69271523510972,1914,1110,1.6,52.07,1.13,2.708667775211904,305.473526645768,367.0,59.43573667711599,3,76,7,7,273.42857142857144,404,94.24587903078688,1.0,76,25.18421052631579,82,3,744,837,333,1,0,0,0.0,0.0,2,2,1.38,1.57,280,159.5,99.2659421590672,1.755485893416928,1.7243243243243245,0.0,32.57896302495187,1.0
23.95_79.35,23.98833259358289,79.39101688770053,1870,1171,1.64,56.21,1.17,2.6727778609917223,305.7978235294118,367.0,59.8716577540107,3,79,7,7,267.1428571428572,323,38.13322510807153,1.0,79,23.670886075949365,64,3,718,866,286,1,0,0,0.0,0.0,5,5,2.05,3.41,279,155.83333333333334,92.19034985322816,1.790374331550802,1.596925704526046,0.0,34.20245668266493,1.0
26.75_83.15,26.761608769751696,83.19785010158014,1772,1029,1.8,50.9,1.41,2.10384953762607,307.1476015801355,367.0,59.76297968397292,3,77,7,7,253.14285714285717,480,151.7096223837154,1.0,77,23.01298701298701,76,3,668,794,310,1,2,2,2.09,3.06,12,12,2.63,7.29,248,147.66666666666666,69.75063809852578,1.6794582392776525,1.7220602526724975,0.167,28.275916120395884,1.0
29.90_74.95,29.910924935747666,74.95410042056075,1712,557,8.68,131.09,3.755,12.677800889435742,321.65400700934583,367.0,60.29789719626168,3,78,7,7,244.57142857142856,745,243.97394474469132,1.0,78,21.94871794871795,197,3,766,772,174,1,4,3,4.75,6.19,8,5,3.55,6.19,306,142.66666666666666,84.47951159179294,2.1448598130841123,3.073608617594255,0.5,15.099293227973504,1.0
29.10_75.75,29.123744160671464,75.7776672002398,1668,1068,1.65,25.78,1.16,1.9178646760299964,308.298896882494,367.0,59.388489208633096,3,80,7,7,238.28571428571428,318,65.23218603755431,1.0,80,20.85,50,3,654,729,285,1,4,4,1.38,2.22,9,8,1.65,4.01,240,139.0,62.94297563523814,1.7266187050359711,1.5617977528089888,0.444,15.579409590887357,1.0
24.90_74.60,24.933773987301585,74.63355255238096,1577,1138,1.3,27.69,1.19,1.0562721955682035,305.5186857142857,354.53,59.94285714285714,3,78,7,7,225.0,331,59.22837157984339,1.0,78,20.192307692307693,53,3,600,702,273,1,5,4,1.27,1.44,9,8,1.89,4.11,232,131.25,74.7178024302107,1.7676190476190476,1.386443661971831,0.556,21.36301960361702,1.0
24.45_81.55,24.47434720203952,81.57542964945826,1569,93,5.57,122.4,4.13,6.087418238322558,345.60311026131296,367.0,55.56405353728489,3,38,7,7,224.14285714285717,314,46.948299832292726,1.0,38,41.28947368421053,173,3,723,663,183,1,0,0,0.0,0.0,0,0,0.0,0.0,789,196.125,258.28690442993815,4.022944550669216,16.870967741935484,0.0,21.98329208629141,1.0
23.80_84.55,23.827562039769084,84.57257704939063,1559,257,3.47,17.85,2.76,2.4414675923055884,320.06080821039126,367.0,57.07504810776138,3,21,6,6,259.8333333333333,1172,470.065279154573,0.8571428571428571,21,74.23809523809524,252,3,435,535,589,1,11,5,2.68,10.61,71,28,3.4,14.1,257,155.9,93.78989521502008,1.6484926234765875,6.066147859922179,0.155,5.149575219699591,1.0
26.75_83.20,26.76252110103627,83.2054987111399,1544,894,2.53,81.29,1.46,5.540429181715602,310.03766191709843,367.0,59.417098445595855,3,79,7,7,220.57142857142856,470,147.79023100649238,1.0,79,19.54430379746836,101,3,600,562,382,1,1,1,1.19,1.19,7,6,2.39,4.94,295,128.66666666666666,78.25986238555534,2.292746113989637,1.7270693512304252,0.143,32.12295155391416,1.0
24.10_82.65,24.142888322411533,82.67661663171691,1526,610,1.68,12.96,1.11,1.6225907215689843,309.761625163827,349.12,59.19397116644823,3,62,7,7,218.0,560,176.0321940252218,1.0,62,24.61290322580645,146,3,566,654,306,1,0,0,0.0,1.73,14,8,2.07,5.61,237,127.16666666666669,76.52905964205341,1.8636959370904325,2.501639344262295,0.0,7.6953750612845235,1.0
25.55_76.70,25.57281838538206,76.72313401328904,1505,162,11.2,173.67,7.22,13.08241040262559,340.3398671096345,367.0,58.88372093023256,3,24,7,7,215.0,348,93.73722135132162,1.0,24,62.708333333333336,237,3,636,676,193,1,0,0,0.0,0.0,0,0,0.0,0.0,947,301.0,398.7756261358009,3.146179401993356,9.290123456790123,0.0,15.505348526248474,1.0
25.50_76.70,25.52526047106326,76.72611034320323,1486,176,7.56,102.33,5.3,8.388210731390435,335.69749663526244,367.0,58.00134589502019,3,23,7,7,212.28571428571428,335,77.39878182873053,1.0,23,64.6086956521739,213,3,631,604,251,1,0,0,0.0,0.0,0,0,0.0,0.0,726,371.5,338.3336617403989,1.9542395693135932,8.443181818181818,0.0,13.53612395427379,1.0
24.20_82.50,24.206414016172506,82.52505551886793,1484,766,1.14,11.54,1.03,0.7053610371173721,303.5780592991914,349.0,59.8989218328841,3,70,7,7,212.0,381,133.696172969411,1.0,70,21.2,94,3,612,675,197,1,0,0,0.0,0.0,2,2,1.69,2.25,215,123.66666666666669,75.3167050567539,1.738544474393531,1.9373368146214096,0.0,10.16516789239691,1.0
25.80_76.65,25.82425293463143,76.67428560500696,1438,163,8.64,103.73,6.0,9.652577785113856,339.0751668984701,367.0,57.767732962447845,3,19,7,7,205.42857142857144,354,106.32631712932464,1.0,19,75.6842105263158,244,3,606,577,255,1,0,0,0.0,0.0,0,0,0.0,0.0,908,359.5,417.1854104192364,2.525730180806676,8.822085889570552,0.0,12.000831895216605,1.0
25.75_76.65,25.77981905632772,76.67315348207754,1367,177,8.42,81.63,5.94,8.831091438711882,338.9365910753475,367.0,57.87125091441112,3,23,7,7,195.28571428571428,317,87.80036880278328,1.0,23,59.43478260869565,223,3,572,581,214,1,0,0,0.0,0.0,0,0,0.0,0.0,855,341.75,377.5176596310871,2.5018288222384784,7.72316384180791,0.0,9.696358094099368,1.0
25.15_84.00,25.17447376296296,84.02436652592593,1350,183,9.2,129.52,4.305,15.654850860875843,335.6929777777778,367.0,59.11111111111112,3,21,7,7,192.8571428571429,298,81.05024896410163,1.0,21,64.28571428571429,237,3,534,590,226,1,0,0,0.0,0.0,0,0,0.0,0.0,667,270.0,328.3336717426344,2.4703703703703703,7.377049180327869,0.0,14.08209319444422,1.0
25.90_78.10,25.925533328369323,78.12515206254653,1343,212,6.36,135.97,4.71,7.168255085757267,336.3802159344751,367.0,58.10126582278481,3,26,7,7,191.8571428571429,324,92.40748269021756,1.0,26,51.65384615384615,210,3,548,564,231,1,0,0,0.0,0.0,0,0,0.0,0.0,918,191.8571428571429,333.25837252369644,4.784810126582278,6.334905660377358,0.0,21.392430257881536,1.0
25.90_78.05,25.92372702763256,78.07570378640777,1339,218,6.15,76.36,4.36,6.763310591962551,334.8394473487677,367.0,58.43166542195669,3,25,7,7,191.28571428571428,312,70.64869492947548,1.0,25,53.56,197,3,541,607,191,1,0,0,0.0,0.0,0,0,0.0,0.0,861,223.16666666666663,337.3463600910297,3.8581030619865575,6.1422018348623855,0.0,12.411738499729903,1.0
25.90_78.15,25.9275421996997,78.17573284534534,1332,232,6.24,66.81,4.595,6.638980817185186,335.4409159159159,367.0,58.94144144144144,3,26,7,7,190.28571428571428,326,81.54286047986112,1.0,26,51.23076923076923,206,3,556,576,200,1,0,0,0.0,0.0,0,0,0.0,0.0,830,266.4,333.42885298066216,3.115615615615616,5.741379310344827,0.0,10.701001547594856,1.0
25.85_78.20,25.87486810892587,78.22811459152798,1322,216,9.42,214.69,4.895,18.440809912785927,337.88183812405447,367.0,58.72919818456884,3,29,7,7,188.8571428571429,395,108.8782631679813,1.0,29,45.58620689655172,160,3,535,532,255,1,0,0,0.0,0.0,0,0,0.0,0.0,623,220.33333333333331,242.15669857897112,2.827534039334342,6.12037037037037,0.0,22.779310023788963,1.0
25.05_83.95,25.076477210200927,83.97386591190109,1294,178,7.26,218.74,3.805,13.82635198543991,333.83261205564145,367.0,58.42349304482226,3,19,7,7,184.8571428571429,309,68.01820484602774,1.0,19,68.10526315789474,185,3,504,565,225,1,0,0,0.0,0.0,0,0,0.0,0.0,736,431.3333333333333,316.05748422293897,1.706336939721793,7.269662921348314,0.0,30.12505135262276,1.0
25.10_84.00,25.126109125,84.027302484375,1280,183,5.87,109.98,3.64,7.896056289360266,331.988109375,367.0,58.4296875,3,25,7,7,182.8571428571429,342,86.58796793132514,1.0,25,51.2,203,3,492,545,243,1,0,0,0.0,0.0,0,0,0.0,0.0,758,213.33333333333331,321.3861643983242,3.553125,6.994535519125683,0.0,18.744028248978747,1.0
25.65_76.55,25.674815638214564,76.57598255285826,1277,190,7.35,80.93,5.43,7.198224933112347,337.9317776037588,367.0,57.74471417384495,3,26,7,7,182.42857142857144,319,97.59073921716332,1.0,26,49.11538461538461,259,3,549,532,196,1,0,0,0.0,0.0,0,0,0.0,0.0,955,182.42857142857144,347.3076720252794,5.234925606891151,6.721052631578948,0.0,11.016553460567607,1.0
26.00_78.70,26.02641087401575,78.72524345669291,1270,181,7.38,114.86,5.56,7.27935725197962,339.3776141732283,367.0,57.77952755905512,3,22,7,7,181.42857142857144,332,112.95995919330169,1.0,22,57.72727272727273,266,3,538,497,235,1,0,0,0.0,0.0,0,0,0.0,0.0,923,317.5,409.10838009831417,2.9070866141732283,7.016574585635359,0.0,15.561394413045472,1.0
25.10_83.80,25.125272734436564,83.82632143420015,1269,189,6.96,158.11,3.8,11.011319541720766,334.15975571315994,367.0,58.557919621749406,3,22,7,7,181.28571428571428,308,65.39295141862077,1.0,22,57.68181818181818,166,3,468,587,214,1,0,0,0.0,0.0,0,0,0.0,0.0,652,317.25,336.3434504590013,2.0551615445232465,6.714285714285714,0.0,22.73164992358265,1.0
25.90_78.20,25.925396035313003,78.22600707865168,1246,176,6.64,81.98,4.3,8.284145584893412,334.68869983948633,367.0,57.76083467094704,3,25,7,7,178.0,291,71.90734779330042,1.0,25,49.84,136,3,517,525,204,1,0,0,0.0,0.0,0,0,0.0,0.0,617,249.2,246.88195559821705,2.475922953451044,7.079545454545454,0.0,12.350416044997184,1.0
25.10_83.95,25.12314744167337,83.97380341110218,1243,186,8.16,173.55,4.07,15.126363647472592,333.81115044247787,367.0,58.6484312148029,3,22,7,7,177.57142857142858,320,76.50459058744372,1.0,22,56.5,192,3,477,507,259,1,0,0,0.0,0.0,0,0,0.0,0.0,736,310.75,337.50691350943714,2.368463395012068,6.682795698924731,0.0,21.26559387078935,1.0
25.00_83.85,25.026912220434436,83.87555784392599,1243,197,5.42,68.94,3.21,7.722419536300523,330.46027353177794,367.0,57.56234915526951,3,23,7,7,177.57142857142858,348,86.66767398681999,1.0,23,54.04347826086956,238,3,495,508,240,1,0,0,0.0,0.0,0,0,0.0,0.0,829,310.75,376.6575588869373,2.667739340305712,6.309644670050761,0.0,12.726773440423926,1.0
25.85_78.05,25.87868183075671,78.07578561432058,1229,208,6.38,133.98,4.29,8.839883448934991,335.3440195280716,367.0,58.2912937347437,3,24,7,7,175.57142857142858,322,87.07249305962847,1.0,24,51.208333333333336,198,3,516,500,213,1,0,0,0.0,0.0,0,0,0.0,9.51,754,245.8,299.3863724353532,3.06753458096013,5.908653846153846,0.0,20.99148670355167,1.0
25.75_76.60,25.775774140179298,76.62491290953545,1227,181,7.46,102.4,5.49,7.645759784020265,338.37635696821513,367.0,58.72860635696821,3,25,7,7,175.28571428571428,395,120.93898500995488,1.0,25,49.08,260,3,487,485,255,1,0,0,0.0,0.0,0,0,0.0,0.0,819,204.5,323.0769258241758,4.004889975550122,6.779005524861878,0.0,13.729856488923325,1.0
25.00_83.95,25.026297481358743,83.97734874067936,1207,171,6.19,85.3,3.82,8.449952548712231,333.11572493786247,367.0,56.57000828500414,3,19,7,7,172.42857142857142,295,63.58945704768242,1.0,19,63.526315789473685,174,3,497,511,199,1,0,0,0.0,0.0,0,0,0.0,0.0,719,301.75,334.01235007107147,2.3827671913835955,7.058479532163743,0.0,13.777340347092773,1.0
25.05_83.85,25.076396011656957,83.87702016652788,1201,185,6.92,167.47,3.63,13.846479610067195,332.8272939217319,367.0,58.251457119067446,3,20,7,7,171.57142857142858,239,41.66076148630805,1.0,20,60.05,145,3,474,543,184,1,0,0,0.0,0.0,0,0,0.0,0.0,647,300.25,313.78057619935623,2.154870940882598,6.491891891891892,0.0,24.187566818070856,1.0
25.05_83.90,25.0745780251046,83.92352764853557,1195,196,5.9,101.7,3.43,9.153451369546731,331.90830962343097,367.0,58.01673640167364,3,22,7,7,170.71428571428572,225,38.853203581833874,1.0,22,54.31818181818182,139,3,495,509,191,1,0,0,0.0,0.0,0,0,0.0,0.0,621,298.75,314.6451705228182,2.078661087866109,6.096938775510204,0.0,17.229517074775153,1.0
25.55_76.55,25.577671835708298,76.57360046102262,1193,165,8.93,147.14,6.5,9.227109853423883,340.9229253981559,367.0,58.21458507963119,3,26,7,7,170.42857142857142,314,103.47279375574551,1.0,26,45.88461538461539,229,3,502,460,231,1,0,0,0.0,0.0,0,0,0.0,0.0,766,198.83333333333331,292.9514749351276,3.852472757753562,7.2303030303030305,0.0,16.483356354952996,1.0
24.30_81.30,24.32844326599327,81.32653601851852,1188,727,2.42,24.26,1.13,3.089115217353421,312.93816498316494,367.0,58.98989898989899,3,70,7,7,169.71428571428572,249,66.43220676176651,1.0,70,16.97142857142857,138,3,474,487,227,1,0,0,0.0,0.0,4,4,2.46,4.54,302,99.0,89.55140727791242,3.0505050505050506,1.6341127922971117,0.0,10.01618805670338,1.0
25.00_83.90,25.02694316722973,83.9247823902027,1184,207,5.65,129.66,3.53,8.140579037294499,331.7959037162162,367.0,57.41554054054054,3,22,7,7,169.14285714285714,259,50.25079956719949,1.0,22,53.81818181818182,176,3,487,505,192,1,0,0,0.0,0.0,0,0,0.0,0.0,675,296.0,297.4850136281378,2.2804054054054053,5.719806763285024,0.0,22.96528820780402,1.0
25.80_78.00,25.82382055124892,78.02579189491817,1161,207,6.6,135.98,4.52,9.25803298342299,336.0027562446167,367.0,57.82945736434109,3,31,7,7,165.85714285714286,272,79.85701507784307,1.0,31,37.45161290322581,154,3,522,461,178,1,0,0,0.0,0.0,0,0,0.0,0.0,622,145.125,214.7240338534225,4.285960378983635,5.608695652173913,0.0,20.616940670695,1.0
25.15_84.05,25.174222720970537,84.07622075389949,1154,181,6.7,184.69,3.555,13.575588210354532,331.0806672443674,367.0,58.62218370883882,3,24,7,7,164.85714285714286,321,84.87329491940436,1.0,24,48.083333333333336,164,3,463,474,217,1,0,0,0.0,0.0,0,0,0.0,0.0,642,230.8,298.21586141585425,2.781629116117851,6.375690607734807,0.0,27.56855978341713,1.0
25.70_76.60,25.727633266022828,76.62420125548726,1139,179,8.53,86.84,6.13,8.296680236839498,340.1848200175593,367.0,58.68305531167691,3,25,7,7,162.71428571428572,343,102.05180757130874,1.0,25,45.56,219,3,436,489,214,1,0,0,0.0,0.0,0,0,0.0,0.0,729,189.83333333333331,284.57436052228365,3.840210711150132,6.363128491620111,0.0,10.182457195094832,1.0
25.70_76.55,25.724378821428573,76.57414026785715,1120,170,7.47,61.32,5.76,6.384185836890163,339.44039285714285,367.0,57.99107142857143,3,25,7,7,160.0,266,79.9937497558403,1.0,25,44.8,202,3,452,485,183,1,0,0,0.0,0.0,0,0,0.0,0.0,774,186.66666666666663,298.45044256403213,4.146428571428571,6.588235294117647,0.0,8.210366247292239,1.0
25.10_83.75,25.125654860986547,83.77523095964125,1115,175,6.51,122.56,3.73,10.063989552189526,333.0476591928251,367.0,59.08520179372197,3,24,7,7,159.28571428571428,256,66.329265249748,1.0,24,46.458333333333336,144,3,423,455,237,1,0,0,0.0,0.0,0,0,0.0,0.0,600,278.75,289.3249326737443,2.1524663677130045,6.371428571428571,0.0,18.827977211509975,1.0
25.15_83.90,25.174194580703336,83.9262273669973,1109,180,6.34,101.86,3.28,10.66791332874557,330.57223624887285,367.0,57.37601442741208,3,24,7,7,158.42857142857142,258,68.55619870553194,1.0,24,46.208333333333336,188,3,414,459,236,1,0,0,0.0,0.0,0,0,0.0,0.0,736,277.25,330.89613173925136,2.654643823264202,6.161111111111111,0.0,16.05480616309957,1.0
25.60_76.55,25.62385804524887,76.57467437104073,1105,192,8.12,92.26,5.42,8.753883393529195,339.8499185520362,367.0,58.53393665158371,3,26,7,7,157.85714285714286,279,80.3169317380185,1.0,26,42.5,210,3,471,455,179,1,0,0,0.0,0.0,0,0,0.0,0.0,771,221.0,315.6524988020845,3.48868778280543,5.755208333333333,0.0,11.35569035960453,1.0
25.80_76.60,25.824854922797456,76.62485393278837,1101,179,7.86,115.81,5.69,7.852566275758805,338.3349863760218,367.0,57.87465940054496,3,24,7,7,157.28571428571428,298,84.95236760623428,1.0,24,45.875,211,3,466,432,203,1,0,0,0.0,0.0,0,0,0.0,0.0,710,275.25,314.78815627868426,2.579473206176204,6.150837988826815,0.0,14.730113675746862,1.0
25.90_78.25,25.9252723,78.27329756363636,1100,201,6.5,265.43,4.145,10.399078974226567,336.5126727272728,367.0,58.63636363636363,3,26,7,7,157.14285714285714,258,76.6059801221562,1.0,26,42.30769230769231,168,3,444,473,183,1,0,0,0.0,0.0,0,0,0.0,0.0,679,183.33333333333331,257.8345722874779,3.703636363636364,5.472636815920398,0.0,40.84915335098963,1.0
24.55_74.80,24.5791039010989,74.80356251831502,1092,875,1.2,16.51,1.11,0.8438654451882521,304.07130952380953,352.53,59.89010989010989,3,74,7,7,156.0,241,62.97089274683449,1.0,74,14.756756756756756,40,3,470,504,118,1,0,0,0.0,0.65,3,3,3.6,9.12,186,91.0,60.394159862146815,2.043956043956044,1.248,0.0,13.797079711032204,1.0
28.05_82.00,28.077296996303144,82.02510268946395,1082,61,3.79,25.81,2.96,2.9153591016867453,323.9072181146026,367.0,56.11829944547135,3,9,6,6,180.33333333333331,346,110.22643361130156,0.8571428571428571,9,120.22222222222224,346,3,426,484,172,1,0,0,0.0,0.0,0,0,0.0,0.0,913,360.6666666666667,480.68735507950834,2.531423290203327,17.737704918032787,0.0,6.805396276900357,1.0
25.15_84.10,25.175942674858224,84.1203870321361,1058,178,7.16,184.69,3.79,13.242656092995508,332.5504347826087,367.0,57.27788279773157,3,24,7,7,151.14285714285714,248,62.349628631421616,1.0,24,44.083333333333336,151,3,436,455,167,1,0,0,0.0,0.0,0,0,0.0,0.0,644,211.6,277.5631459686246,3.0434782608695654,5.943820224719101,0.0,25.77903871829105,1.0
26.05_78.75,26.071794182509507,78.77372643536123,1052,185,7.36,141.49,5.22,8.861011263481648,339.56887832699624,367.0,56.89163498098859,3,24,7,7,150.28571428571428,302,91.69099244330437,1.0,24,43.833333333333336,227,3,402,461,189,1,0,0,0.0,0.0,0,0,0.0,0.0,675,263.0,281.8616681991363,2.5665399239543727,5.686486486486486,0.0,19.21207599772833,1.0
25.10_83.85,25.122440133843213,83.87542233269599,1046,182,5.71,86.89,3.585,7.725219242996626,331.7609942638624,367.0,57.848948374760994,3,21,7,7,149.42857142857142,264,66.71795646065394,1.0,21,49.80952380952381,161,3,403,439,204,1,0,0,0.0,0.0,0,0,0.0,0.0,647,261.5,301.12068455465936,2.474187380497132,5.747252747252747,0.0,15.210948770731871,1.0
25.20_84.00,25.224860192678225,84.02311652215799,1038,178,5.37,57.02,3.39,6.535386578193684,331.1388246628131,367.0,57.83236994219653,3,22,7,7,148.28571428571428,251,65.31644582521385,1.0,22,47.18181818181818,152,3,390,448,200,1,0,0,0.0,0.0,0,0,0.0,0.0,616,207.6,277.157536430096,2.9672447013487475,5.831460674157303,0.0,10.615507129405437,1.0
25.10_83.90,25.12472406007752,83.92334693798449,1032,179,4.29,49.09,2.68,5.088383058860684,326.9053197674418,367.0,58.4593023255814,3,20,7,7,147.42857142857142,226,53.1565522548166,1.0,20,51.6,175,3,414,427,191,1,0,0,0.0,0.0,0,0,0.0,0.0,718,206.4,301.94833995238326,3.478682170542636,5.76536312849162,0.0,11.45158140291868,1.0
